State,State Code,Year,Month Code,Gender,Deaths
Alaska,2,2016,2016/07,Female,167
Alaska,2,2016,2016/07,Male,210
Alaska,2,2016,2016/08,Female,145
Alaska,2,2016,2016/08,Male,198
Alaska,2,2016,2016/09,Female,133
Alaska,2,2016,2016/09,Male,209
Alaska,2,2016,2016/10,Female,172
Alaska,2,2016,2016/10,Male,237
Alaska,2,2016,2016/11,Female,142
Alaska,2,2016,2016/11,Male,202
Alaska,2,2016,2016/12,Female,180
Alaska,2,2016,2016/12,Male,256
Alaska,2,2017,2017/01,Female,171
Alaska,2,2017,2017/01,Male,259
Alaska,2,2017,2017/02,Female,119
Alaska,2,2017,2017/02,Male,181
Alaska,2,2017,2017/03,Female,178
Alaska,2,2017,2017/03,Male,213
Alaska,2,2017,2017/04,Female,155
Alaska,2,2017,2017/04,Male,196
Alaska,2,2017,2017/05,Female,140
Alaska,2,2017,2017/05,Male,191
Alaska,2,2017,2017/06,Female,151
Alaska,2,2017,2017/06,Male,203
Alaska,2,2017,2017/07,Female,148
Alaska,2,2017,2017/07,Male,184
Alaska,2,2017,2017/08,Female,137
Alaska,2,2017,2017/08,Male,204
Alaska,2,2017,2017/09,Female,178
Alaska,2,2017,2017/09,Male,227
Alaska,2,2017,2017/10,Female,191
Alaska,2,2017,2017/10,Male,205
Alaska,2,2017,2017/11,Female,150
Alaska,2,2017,2017/11,Male,227
Alaska,2,2017,2017/12,Female,171
Alaska,2,2017,2017/12,Male,232
Alaska,2,2018,2018/01,Female,173
Alaska,2,2018,2018/01,Male,224
Alaska,2,2018,2018/02,Female,140
Alaska,2,2018,2018/02,Male,197
Alaska,2,2018,2018/03,Female,153
Alaska,2,2018,2018/03,Male,208
Alaska,2,2018,2018/04,Female,167
Alaska,2,2018,2018/04,Male,225
Alaska,2,2018,2018/05,Female,156
Alaska,2,2018,2018/05,Male,201
Alaska,2,2018,2018/06,Female,125
Alaska,2,2018,2018/06,Male,196
Alaska,2,2018,2018/07,Female,169
Alaska,2,2018,2018/07,Male,202
Alaska,2,2018,2018/08,Female,169
Alaska,2,2018,2018/08,Male,220
Alaska,2,2018,2018/09,Female,156
Alaska,2,2018,2018/09,Male,196
Alaska,2,2018,2018/10,Female,152
Alaska,2,2018,2018/10,Male,219
Alaska,2,2018,2018/11,Female,166
Alaska,2,2018,2018/11,Male,236
Alaska,2,2018,2018/12,Female,182
Alaska,2,2018,2018/12,Male,221
Alaska,2,2019,2019/01,Female,185
Alaska,2,2019,2019/01,Male,236
Alaska,2,2019,2019/02,Female,156
Alaska,2,2019,2019/02,Male,222
Alaska,2,2019,2019/03,Female,184
Alaska,2,2019,2019/03,Male,245
Alaska,2,2019,2019/04,Female,172
Alaska,2,2019,2019/04,Male,183
Alaska,2,2019,2019/05,Female,163
Alaska,2,2019,2019/05,Male,234
Alaska,2,2019,2019/06,Female,169
Alaska,2,2019,2019/06,Male,204
Alaska,2,2019,2019/07,Female,132
Alaska,2,2019,2019/07,Male,180
Alaska,2,2019,2019/08,Female,165
Alaska,2,2019,2019/08,Male,186
Alaska,2,2019,2019/09,Female,156
Alaska,2,2019,2019/09,Male,208
Alaska,2,2019,2019/10,Female,164
Alaska,2,2019,2019/10,Male,219
Alaska,2,2019,2019/11,Female,183
Alaska,2,2019,2019/11,Male,239
Alaska,2,2019,2019/12,Female,178
Alaska,2,2019,2019/12,Male,250
Alaska,2,2020,2020/01,Female,199
Alaska,2,2020,2020/01,Male,241
Alaska,2,2020,2020/02,Female,156
Alaska,2,2020,2020/02,Male,227
Alaska,2,2020,2020/03,Female,150
Alaska,2,2020,2020/03,Male,220
Alaska,2,2020,2020/04,Female,163
Alaska,2,2020,2020/04,Male,206
Alaska,2,2020,2020/05,Female,182
Alaska,2,2020,2020/05,Male,226
Alaska,2,2020,2020/06,Female,150
Alaska,2,2020,2020/06,Male,230
Alaska,2,2020,2020/07,Female,179
Alaska,2,2020,2020/07,Male,254
Alaska,2,2020,2020/08,Female,177
Alaska,2,2020,2020/08,Male,261
Alaska,2,2020,2020/09,Female,185
Alaska,2,2020,2020/09,Male,247
Alaska,2,2020,2020/10,Female,206
Alaska,2,2020,2020/10,Male,275
Alaska,2,2020,2020/11,Female,216
Alaska,2,2020,2020/11,Male,295
Alaska,2,2020,2020/12,Female,209
Alaska,2,2020,2020/12,Male,316
Arizona,4,2010,2010/01,Female,1907
Arizona,4,2010,2010/01,Male,2115
Arizona,4,2010,2010/02,Female,1717
Arizona,4,2010,2010/02,Male,1939
Arizona,4,2010,2010/03,Female,2007
Arizona,4,2010,2010/03,Male,2147
Arizona,4,2010,2010/04,Female,1835
Arizona,4,2010,2010/04,Male,2059
Arizona,4,2010,2010/05,Female,1915
Arizona,4,2010,2010/05,Male,1959
Arizona,4,2010,2010/06,Female,1759
Arizona,4,2010,2010/06,Male,1958
Arizona,4,2010,2010/07,Female,1798
Arizona,4,2010,2010/07,Male,2138
Arizona,4,2010,2010/08,Female,1756
Arizona,4,2010,2010/08,Male,2078
Arizona,4,2010,2010/09,Female,1725
Arizona,4,2010,2010/09,Male,1996
Arizona,4,2010,2010/10,Female,1731
Arizona,4,2010,2010/10,Male,2025
Arizona,4,2010,2010/11,Female,1889
Arizona,4,2010,2010/11,Male,1989
Arizona,4,2010,2010/12,Female,2026
Arizona,4,2010,2010/12,Male,2294
Arizona,4,2011,2011/01,Female,2141
Arizona,4,2011,2011/01,Male,2247
Arizona,4,2011,2011/02,Female,2009
Arizona,4,2011,2011/02,Male,2118
Arizona,4,2011,2011/03,Female,2133
Arizona,4,2011,2011/03,Male,2294
Arizona,4,2011,2011/04,Female,1912
Arizona,4,2011,2011/04,Male,2120
Arizona,4,2011,2011/05,Female,1852
Arizona,4,2011,2011/05,Male,2115
Arizona,4,2011,2011/06,Female,1829
Arizona,4,2011,2011/06,Male,2079
Arizona,4,2011,2011/07,Female,1837
Arizona,4,2011,2011/07,Male,2025
Arizona,4,2011,2011/08,Female,1886
Arizona,4,2011,2011/08,Male,2081
Arizona,4,2011,2011/09,Female,1778
Arizona,4,2011,2011/09,Male,1968
Arizona,4,2011,2011/10,Female,1932
Arizona,4,2011,2011/10,Male,2031
Arizona,4,2011,2011/11,Female,1792
Arizona,4,2011,2011/11,Male,2038
Arizona,4,2011,2011/12,Female,1980
Arizona,4,2011,2011/12,Male,2184
Arizona,4,2012,2012/01,Female,2019
Arizona,4,2012,2012/01,Male,2271
Arizona,4,2012,2012/02,Female,2074
Arizona,4,2012,2012/02,Male,2157
Arizona,4,2012,2012/03,Female,2116
Arizona,4,2012,2012/03,Male,2383
Arizona,4,2012,2012/04,Female,2050
Arizona,4,2012,2012/04,Male,2197
Arizona,4,2012,2012/05,Female,1924
Arizona,4,2012,2012/05,Male,2148
Arizona,4,2012,2012/06,Female,1825
Arizona,4,2012,2012/06,Male,2140
Arizona,4,2012,2012/07,Female,1821
Arizona,4,2012,2012/07,Male,2141
Arizona,4,2012,2012/08,Female,1769
Arizona,4,2012,2012/08,Male,2184
Arizona,4,2012,2012/09,Female,1864
Arizona,4,2012,2012/09,Male,2073
Arizona,4,2012,2012/10,Female,1913
Arizona,4,2012,2012/10,Male,2144
Arizona,4,2012,2012/11,Female,1914
Arizona,4,2012,2012/11,Male,2081
Arizona,4,2012,2012/12,Female,2025
Arizona,4,2012,2012/12,Male,2316
Arizona,4,2013,2013/01,Female,2429
Arizona,4,2013,2013/01,Male,2707
Arizona,4,2013,2013/02,Female,2186
Arizona,4,2013,2013/02,Male,2258
Arizona,4,2013,2013/03,Female,2192
Arizona,4,2013,2013/03,Male,2374
Arizona,4,2013,2013/04,Female,2029
Arizona,4,2013,2013/04,Male,2255
Arizona,4,2013,2013/05,Female,1947
Arizona,4,2013,2013/05,Male,2185
Arizona,4,2013,2013/06,Female,1779
Arizona,4,2013,2013/06,Male,2110
Arizona,4,2013,2013/07,Female,1807
Arizona,4,2013,2013/07,Male,2173
Arizona,4,2013,2013/08,Female,1849
Arizona,4,2013,2013/08,Male,2076
Arizona,4,2013,2013/09,Female,1829
Arizona,4,2013,2013/09,Male,2011
Arizona,4,2013,2013/10,Female,1906
Arizona,4,2013,2013/10,Male,1999
Arizona,4,2013,2013/11,Female,1940
Arizona,4,2013,2013/11,Male,2019
Arizona,4,2013,2013/12,Female,2044
Arizona,4,2013,2013/12,Male,2430
Arizona,4,2014,2014/01,Female,2323
Arizona,4,2014,2014/01,Male,2543
Arizona,4,2014,2014/02,Female,2040
Arizona,4,2014,2014/02,Male,2216
Arizona,4,2014,2014/03,Female,2046
Arizona,4,2014,2014/03,Male,2319
Arizona,4,2014,2014/04,Female,1981
Arizona,4,2014,2014/04,Male,2331
Arizona,4,2014,2014/05,Female,2097
Arizona,4,2014,2014/05,Male,2233
Arizona,4,2014,2014/06,Female,1950
Arizona,4,2014,2014/06,Male,2155
Arizona,4,2014,2014/07,Female,1870
Arizona,4,2014,2014/07,Male,2251
